ObjectId	ISO2	ISO3	Indicator	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
299	FJ	FJI	Drought				1															1																	1							
300	FJ	FJI	Flood							1			1											1				1		1	2		1			2										
301	FJ	FJI	Storm	1	1		2		3	1	1			1		1	1				1		1		1		1	1		1	2	1	1	1		1				2		2	1	3	1	1
302	FJ	FJI	TOTAL	1	1		3		3	2	1		1	1		1	1				1	1	1	1	1		1	2		2	4	1	2	1		3			1	2		2	1	3	1	1
303	FI	FIN	Flood																										1																	
304	FI	FIN	Storm											2																																
305	FI	FIN	TOTAL											2															1																	
306	FR	FRA	Drought			1							1		1						1																									1
307	FR	FRA	Extreme temperature						1					1	2						1						1		2	1		1	2	1		1			1			2	2	1	1	1
308	FR	FRA	Flood	1	1		3				1	1				1	1	3		2			3	6	5	3	2		2					1	1		1	3	1	1	1	2	2	3	6	
309	FR	FRA	Landslide			2	2							1								1	1																							
310	FR	FRA	Storm			2	2	3	1		1		1	8		2	2		1	1		1	3	1	2	2	2	1		2	3	3	1	2	1		2	4	1		1	3	5	3	2	4
311	FR	FRA	TOTAL	1	1	6	8	5	3	1	2	1	2	10	3	3	3	3	1	3	3	2	8	7	7	5	6	1	5	3	3	4	4	4	2	1	3	7	3	1	3	7	9	7	9	6
312	FR	FRA	Wildfire			1	1	2	1	1											1		1				1		1				1								1					
313	PF	PYF	Flood																																						1					
314	PF	PYF	Landslide								1											2																								
315	PF	PYF	Storm				2																											1												
316	PF	PYF	TOTAL				2				1											2												1							1					
317	GA	GAB	Flood									1																								1										
318	GA	GAB	Storm																														1	2												
319	GA	GAB	TOTAL									1																					1	2		1										
320	GM	GMB	Drought	1																						1										1			1							
321	GM	GMB	Flood																	1			1		1						1	1	1	2			1				1					1
322	GM	GMB	Storm																								1	1				1	1										1		1	
323	GM	GMB	TOTAL	1																1			1		1	1	1	1			1	2	2	2		1	1		1		1		1		1	1
324	GE	GEO	Drought																					1																						
325	GE	GEO	Flood																1		3							2	1	1					1	1	2	1	1			1	1	1	1	1
326	GE	GEO	Storm																						1											1	1									
327	GE	GEO	TOTAL																1		3			1	1			2	1	1					1	2	3	1	1			1	1	1	1	1
328	DE	DEU	Extreme temperature																		1						1		2	1		1	1	1		2						1	2			1
329	DE	DEU	Flood													1	1	2			1		1			1			2	1	1		1	1	1		1			1	1				1	
330	DE	DEU	Landslide																				1																							
331	DE	DEU	Storm											6	1		2	2	2	1		1	2		1	3	2	1	1	3	2	2	1	2			3	2			2	1	1	1	2	3
332	DE	DEU	TOTAL											6	1	1	3	4	2	1	2	1	4		1	4	3	1	5	5	3	3	3	4	1	2	4	2		1	3	2	3	1	3	4
333		DDR	Storm					2	1																																					
334		DDR	TOTAL					2	1																																					
335		DFR	Flood				1					1			1																															
336		DFR	Storm					2	1																																					
337		DFR	TOTAL				2	2	1			1			1																															
338		DFR	Wildfire				1																																							
339	GH	GHA	Drought	1																																										
340	GH	GHA	Flood										1		1				1				1		1	2					1	1	2	2	2		1		1	1	1	1	2	2	2	1
341	GH	GHA	Storm																																						1					
342	GH	GHA	TOTAL	1					1				1		1				1				1		1	2					1	1	2	2	2		1		1	1	2	1	2	2	2	1
343	GH	GHA	Wildfire						1																																					
344	GR	GRC	Drought											1																																
345	GR	GRC	Extreme temperature						1		1	1			1									1							1					1					1					
346	GR	GRC	Flood															1			1	1		2	2	4	3			2	1			1		1		1	2	1	1			2		
347	GR	GRC	Storm								1			1												1		2		1													1			
348	GR	GRC	TOTAL				1	2	2		3	1		2	1			1	1		1	2		5	2	5	3	2		3	4		2	1		2		1	2	1	2	1	1	2	1	1
349	GR	GRC	Wildfire				1	2	1		1								1			1		2							2		2									1			1	1
350	GD	GRD	Drought																															1												
351	GD	GRD	Storm	1										1									1			1		1																		
352	GD	GRD	TOTAL	1										1									1			1		1						1												
353	GU	GUM	Storm								1					1					1					2		2																		
354	GU	GUM	TOTAL								1					1					1					2		2																		
